# Harmonised System (HS) — curated slice for the cargo-iq corpus.
# Source: WCO HS 2022. This is NOT exhaustive — it's a hand-curated cross-section
# spanning the chapters commonly seen in maritime container and trade-finance
# flows, broad enough that description searches return useful, ranked results.
# To load the full schedule, replace this file with the WCO CSV export (5,000+
# rows at 6-digit) — the ranked search in HsCodeReferenceData scales to it.
#
# Format: code,description,chapter
code,description,chapter
0201,"Meat of bovine animals, fresh or chilled",02
0203,"Meat of swine, fresh, chilled or frozen",02
0303,"Fish, frozen, excluding fish fillets",03
0306,"Crustaceans, whether in shell or not, live, fresh, chilled or frozen (shrimp, lobster, crab)",03
0402,"Milk and cream, concentrated or containing added sugar",04
0406,Cheese and curd,04
0603,"Cut flowers and flower buds for bouquets or ornamental purposes, fresh",06
0709,"Other vegetables, fresh or chilled",07
0803,"Bananas, including plantains, fresh or dried",08
0805,"Citrus fruit, fresh or dried (oranges, lemons, limes)",08
0901,Coffee whether or not roasted or decaffeinated,09
0902,"Tea, whether or not flavoured",09
0904,"Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum",09
0910,"Ginger, saffron, turmeric, thyme, bay leaves, curry and other spices",09
1006,Rice,10
1008,"Buckwheat, millet and canary seed; other cereals",10
1101,Wheat or meslin flour,11
1201,"Soya beans, whether or not broken",12
1511,"Palm oil and its fractions, whether or not refined",15
1701,Cane or beet sugar and chemically pure sucrose in solid form,17
1806,Chocolate and other food preparations containing cocoa,18
1905,"Bread, pastry, cakes, biscuits and other bakers' wares",19
2009,"Fruit and vegetable juices, unfermented",20
2101,"Extracts, essences and concentrates of coffee, tea or mate",21
2204,"Wine of fresh grapes, including fortified wines",22
2208,"Undenatured ethyl alcohol; spirits, liqueurs and other spirituous beverages",22
2402,"Cigars, cheroots, cigarillos and cigarettes of tobacco",24
2523,"Portland cement, aluminous cement, slag cement and similar hydraulic cements",25
2601,Iron ores and concentrates,26
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",27
2709,Petroleum oils and oils obtained from bituminous minerals crude,27
